model,abs_delta_expectation_value
quasar_response,14.04195169568739
quasar_response,2.566578256770186
quasar_response,2.7754048581954596
quasar_response,0.3560194555153602
quasar_response,0.790033188222603
quasar_response,3.348523728761867
quasar_response,0.6852969204910226
quasar_response,0.04439177477841394
quasar_response,1.545307329686029
quasar_response,0.5068146401322242
quasar_response,0.35341894851415356
quasar_response,1.8448120552067788
quasar_response,8.79076997113966
quasar_response,0.12260198842082426
quasar_response,2.683572010262987
quasar_response,0.09790269458973411
quasar_response,0.9322235817766367
quasar_response,0.4625832042152953
quasar_response,19.12946018294484
quasar_response,12.209260096407053
quasar_response,26.283588527528384
quasar_response,0.1965205603843107
quasar_response,0.08227838751966698
quasar_response,20.41564766269731
quasar_response,0.8232079504616746
quasar_response,10.050708228328782
quasar_response,2.8283313493047135
quasar_response,1.1646305370478782
quasar_response,31.98336482208554
quasar_response,0.17492031133131908
quasar_response,1.6406618392995702
quasar_response,4.150537418587251
quasar_response,4.643832763351302
quasar_response,0.9156227579659683
quasar_response,2.1388902412904827
quasar_response,1.1258629013992185
quasar_response,0.006582639018565803
quasar_response,0.747218354883437
quasar_response,5.580607479872421
quasar_response,0.6659874133395942
quasar_response,7.928257995236441
quasar_response,14.37260957475385
quasar_response,1.6123612726362628
quasar_response,60.92651763535753
quasar_response,22.282240833685613
quasar_response,3.1810938556107704
quasar_response,1.6909503064640885
quasar_response,1.5568204037884223
quasar_response,0.011224449126248204
quasar_response,11.449594342704417
quasar_response,0.004203590436036908
quasar_response,4.224020906272021
quasar_response,1.5787538154848875
quasar_response,1.171774039905312
quasar_response,2.0487724826371645
quasar_response,0.42485169689632285
quasar_response,0.24199590121415093
quasar_response,4.060600291315019
quasar_response,1.2868019082634858
quasar_response,1.9299820149774867
quasar_response,0.024584366098834964
quasar_response,0.15497327709651865
quasar_response,1.6651251756782872
quasar_response,1.1241520383576016
quasar_response,8.902725212452344
quasar_response,1.10285682676152
quasar_response,24.160366889016576
quasar_response,0.13505982178294051
quasar_response,1.0521552393625146
quasar_response,1.1936861083852133
quasar_response,0.9462418668127142
quasar_response,0.03965961945141139
quasar_response,10.060413041474307
quasar_response,0.16266657372607685
quasar_response,3.009533210866941
quasar_response,11.675662284670786
quasar_response,1.7085031077680837
quasar_response,0.14925602053641798
quasar_response,2.260306819969661
quasar_response,16.081509904375313
quasar_response,4.373742772274753
quasar_response,1.968360181302625
quasar_response,0.0014959106493198093
quasar_response,2.040770240993007
quasar_response,1.0015763634586898
quasar_response,0.7342302826847797
quasar_response,1.2563439437447022
quasar_response,1.0825085808748742
quasar_response,0.5195919208920436
quasar_response,0.8851579956267298
quasar_response,1.4289515580783458
quasar_response,3.9320788513368585
quasar_response,0.16246066375145632
quasar_response,0.2881325399856953
quasar_response,0.06766333834532798
quasar_response,5.637752079238977
quasar_response,0.5960352610048055
quasar_response,2.897952675249682
quasar_response,47.08108891134975
quasar_response,8.956323896486472
quasar_response,2.266312470976235
quasar_response,0.23051347551582477
quasar_response,0.2141981115168463
quasar_response,0.0028655163260999927
quasar_response,2.187759827039721
quasar_response,1.1622222312767605
quasar_response,0.29824421003750556
quasar_response,4.740104016510898
quasar_response,0.192320233072369
quasar_response,1.2929297589095168
quasar_response,1.517952348581776
quasar_response,2.6052595484614307
quasar_response,0.1867942959521255
quasar_response,0.030280836570638157
quasar_response,0.18903754846868415
quasar_response,0.09232997965102649
quasar_response,0.010351280970282099
quasar_response,1.801322213684716
quasar_response,0.15622803523402595
quasar_response,0.8514177544530167
quasar_response,2.9490892872901497
quasar_response,26.761054487183063
quasar_response,21.703136107544523
quasar_response,2.984597767694297
quasar_response,0.02349206888512153
quasar_response,4.021091664885
quasar_response,2.569744169153631
quasar_response,0.1895655501184179
quasar_response,1.522111351124606
quasar_response,0.9885611469328849
quasar_response,0.44674485238870293
quasar_response,9.29607248467265
quasar_response,0.17444153577483223
quasar_response,1.6773459335027152
quasar_response,5.5255335386999995
quasar_response,1.943297888789878
quasar_response,0.16339163230487302
quasar_response,0.5564206385979379
quasar_response,0.0008491416797346274
quasar_response,0.3491305823018718
quasar_response,0.7943543210384877
quasar_response,0.7635664615945852
quasar_response,2.9200176182235777
quasar_response,2.144635153803364
quasar_response,0.02108645538045716
quasar_response,2.836820767317496
quasar_response,2.3051572877519693
quasar_response,5.664649246260492
quasar_response,2.9454630149905334
quasar_response,4.4116318048212415
quasar_response,0.08782422323375672
quasar_response,2.910086282073621
quasar_response,0.3728284659886356
quasar_response,0.0
quasar_response,1.2174301936132759
quasar_response,0.43567313361251514
quasar_response,2.1471042251794685
quasar_response,0.5306186290506876
quasar_response,2.127833713733219
quasar_response,60.365086758479094
quasar_response,3.8789898134799072
quasar_response,0.06814475898220607
quasar_response,1.2101069882087578
quasar_response,47.924147449609364
quasar_response,10.653242413795196
quasar_response,0.29186677862876115
quasar_response,12.15919762407254
quasar_response,0.29624351928983034
quasar_response,17.047387551460677
quasar_response,0.09081175986407297
quasar_response,3.3250310658638567
quasar_response,3.3153330272721324
quasar_response,0.48523310472061576
quasar_response,0.07282124457500228
