model,abs_delta_expectation_value
deepseek,26.031197937020984
deepseek,1.3614919753876367
deepseek,18.711339196071428
deepseek,0.24848308686110954
deepseek,0.6523069949276391
deepseek,29.089099050718985
deepseek,2.279837867871003
deepseek,4.396001488585827
deepseek,1.749975521205594
deepseek,0.03445852037591755
deepseek,1.2675948097165657
deepseek,1.8634319555314456
deepseek,56.46113198252194
deepseek,3.071000153190627
deepseek,1.2124409477910485
deepseek,2.070880646503261
deepseek,3.39439038436402
deepseek,2.012858220382125
deepseek,10.51545906221192
deepseek,12.978959306564377
deepseek,0.8358245394488719
deepseek,0.019310317896606574
deepseek,0.5065390243021323
deepseek,64.00664648207639
deepseek,1.1275716430868261
deepseek,0.014505386574775483
deepseek,2.5398570580589874
deepseek,1.2497641341848773
deepseek,0.6833616049993624
deepseek,0.2984342068329402
deepseek,1.8090223895012543
deepseek,5.085435188982254
deepseek,3.759196011977812
deepseek,0.3272472711726556
deepseek,0.5930333228792819
deepseek,2.3766840378332574
deepseek,0.39142132333583995
deepseek,2.302630344883615
deepseek,0.23542678754490512
deepseek,2.061175967036041
deepseek,1.6821222194793535
deepseek,22.827590311853445
deepseek,65.41210948203711
deepseek,5.93720483866797
deepseek,1.7120583181334377
deepseek,2.9999257085278233
deepseek,0.04553905875857125
deepseek,11.379931962760574
deepseek,1.6575690757975978
deepseek,4.90596235816893
deepseek,8.00017998882061
deepseek,5.6106944286180855
deepseek,2.198935006471266
deepseek,0.2874106867500823
deepseek,0.25867852983852724
deepseek,127.65109442748653
deepseek,0.8585869371244271
deepseek,2.183629068586365
deepseek,0.6936639452312945
deepseek,0.29958471670949627
deepseek,1.6907576530967794
deepseek,1.3960688890593271
deepseek,1.5744779390067554
deepseek,2.523426132235909
deepseek,0.9902575894933018
deepseek,0.1250897789163592
deepseek,10.034553544685101
deepseek,2.6279238876468973
deepseek,0.9649160844846367
deepseek,14.887016919198045
deepseek,0.23550097278030024
deepseek,0.2216783960128943
deepseek,0.6592753325439714
deepseek,7.648630384741665
deepseek,0.6545303010372532
deepseek,0.00013387712223104507
deepseek,2.2406092451735704
deepseek,117.59964562634201
deepseek,111.31168277561727
deepseek,6.931632805194592
deepseek,0.03486139378672799
deepseek,0.45520204376558165
deepseek,0.15928018926870163
deepseek,3.2982607862237114
deepseek,0.614200049927836
deepseek,0.94028896550582
deepseek,0.16417412054111669
deepseek,0.9113400899692833
deepseek,0.546376783640326
deepseek,0.2952653560426152
deepseek,3.273670432512449
deepseek,0.1233934318919952
deepseek,19.04414456696218
deepseek,0.8586410216693277
deepseek,0.645723276912094
deepseek,53.65714081398079
deepseek,8.313154819348654
deepseek,1.6951272736247414
deepseek,0.16266920525542525
deepseek,1.4786476013235146
deepseek,21.94482307148509
deepseek,3.0324235072239483
deepseek,1.7534312095984408
deepseek,1.2638560689679843
deepseek,9.809872605473187
deepseek,1.779327359201612
deepseek,8.42708891199122
deepseek,7.997479372491606
deepseek,0.4008662027141998
deepseek,0.565706841885416
deepseek,0.0005071347299517616
deepseek,3.109194490425397
deepseek,0.12104202126766131
deepseek,1.3767631248254655
deepseek,2.5978201928183755
deepseek,13.291350341839715
deepseek,0.9620030188226654
deepseek,1.64610414980344
deepseek,25.871684418149776
deepseek,4.6081675137838864
deepseek,1.6290487159574456
deepseek,0.0104653184966828
deepseek,3.7122212079898156
deepseek,0.0414503004818159
deepseek,0.0008764087029370423
deepseek,0.6481304780235757
deepseek,0.7589738306623635
deepseek,0.4540211338069202
deepseek,0.19714166216749884
deepseek,0.2570624412894667
deepseek,0.5403211543143329
deepseek,2.757031774478585
deepseek,3.550407145926803
deepseek,1.3315403425567138
deepseek,0.4536342698218642
deepseek,0.16057396943512892
deepseek,0.8809882924946494
deepseek,0.42245506933722654
deepseek,1.0016608824050608
deepseek,9.316724876271453
deepseek,48.189251391497635
deepseek,0.02216289227208427
deepseek,92.98917161829026
deepseek,16.336249320455106
deepseek,6.328303428093871
deepseek,28.534914252213664
deepseek,4.706650324426146
deepseek,1.7528765470327246
deepseek,107.11789094405307
deepseek,0.9152258624282716
deepseek,2.5804564607405025
deepseek,7.031089512203214
deepseek,2.8589807517967087
deepseek,0.1977144540981468
deepseek,7.005061826018485
deepseek,1.993191817156517
deepseek,4.3699472636131835
deepseek,0.5907173635158105
deepseek,1.3698611597107015
deepseek,57.85776585693515
deepseek,1.346541162982957
deepseek,0.6383264012435257
deepseek,27.409548458637577
deepseek,0.26642767049974286
deepseek,156.9961985570295
deepseek,3.4799588482838426
deepseek,5.255847346131659
deepseek,3.3546805840314398
deepseek,1.8178256793083454
deepseek,0.3880638292904755
deepseek,0.49892112272197375
deepseek,4.9225111504151435
deepseek,0.23738611013277477
deepseek,4.107677639736687
deepseek,2.7070865589152158
deepseek,0.5427267707341814
deepseek,12.740248965887195
deepseek,2.4355240119228174
deepseek,123.20443297748041
deepseek,2.1604290262490187
deepseek,0.7564537128863983
deepseek,4.003752215847728
deepseek,25.217695340654856
deepseek,0.14581014697049086
deepseek,0.2674854316053943
deepseek,9.633680705578747
deepseek,7.200047858957926
deepseek,0.14784301927864874
deepseek,0.3092532059676031
deepseek,2.812379083687626
deepseek,0.24799101401630566
deepseek,56.27237792972083
deepseek,0.5924717936731103
deepseek,0.6714606692568306
deepseek,2.6456216792888587
deepseek,54.60535355116937
deepseek,2.923641062555287
deepseek,10.982654027417137
deepseek,2.427798994157989
deepseek,0.358065281444601
deepseek,6.368265544906903
deepseek,1.8147778407955357
deepseek,3.2007223956065856
deepseek,0.29245461702897924
deepseek,10.401351087637078
deepseek,2.550717678660509
deepseek,0.11366949766277278
deepseek,4.395443916509678
deepseek,0.09078505623882374
deepseek,0.2990069860071326
deepseek,0.5021639205208106
deepseek,0.15042190036564373
deepseek,39.09352600575468
deepseek,1.9073460809614269
deepseek,8.431269646889014
deepseek,0.20981066664070447
