instance_id,num_qubits,method,scheduled_duration_s,transpiled_runtime_s,ev_gap
6,3.0,Ground truth,11.086736004479233,2.2758281524023554,0.10197765973172293
8,3.0,Ground truth,10.93240074934678,0.012783842604561871,0.05850709990502929
36,4.0,Ground truth,11.152331386859194,0.03561908552607806,0.10751950953551907
48,4.0,Ground truth,9.417185305017806,0.016835793111200155,0.10707082241625185
120,3.0,Ground truth,10.99967069431688,0.012091853555120529,0.11122037338557614
142,4.0,Ground truth,25.879180288269822,0.04041686061104428,0.14597697315429642
192,2.0,Ground truth,8.279149851069965,0.012347971021692517,0.04736874744709343
259,4.0,Ground truth,9.385629091426313,0.021265009504805556,0.09193752772290949
281,4.0,Ground truth,10.964111380918602,0.0206769122237145,0.11557218670530202
288,4.0,Ground truth,10.842304215707738,0.08218872717550245,0.11854952591705936
324,4.0,Ground truth,10.666643754612721,0.017081650204074303,0.09106921088095711
339,4.0,Ground truth,9.45975439085071,0.015126477466781658,0.09990136738219031
379,4.0,Ground truth,11.80650026199552,0.01944073647934514,0.1129729137954923
422,4.0,Ground truth,10.89693173800653,0.012356994872676155,0.09620152863074434
431,4.0,Ground truth,11.577487408696355,0.05464963115195086,0.09761906226849253
510,4.0,Ground truth,9.966386206654343,0.018973916985212756,0.0879743076201951
552,4.0,Ground truth,11.53451334896899,0.03900577392178744,0.10201173408891985
578,3.0,Ground truth,9.261388069212812,0.03469060300851084,0.10014432873554098
6,3.0,VISTA,8.763763818767858,1.8189114013106784,0.11807566233395474
8,3.0,VISTA,8.515301316413991,0.01,0.08185982166077649
36,4.0,VISTA,8.681302266811423,0.026863519633718823,0.11183493001722038
48,4.0,VISTA,7.530053024596343,0.01265849654286307,0.11720055007923136
120,3.0,VISTA,8.737157213583643,0.01,0.11353913066171936
142,4.0,VISTA,18.94137580360857,0.02959570822085045,0.15367368911498575
192,2.0,VISTA,6.7087022738824995,0.01,0.06806663434524939
259,4.0,VISTA,7.581380717367066,0.01668399558557837,0.11384079817212885
281,4.0,VISTA,8.594137221036158,0.016390590377119367,0.11965323313259792
288,4.0,VISTA,8.567417700354062,0.06199553185362863,0.11546541400817535
324,4.0,VISTA,8.635511739353838,0.013691955120915799,0.10854311091726805
339,4.0,VISTA,7.364156654768727,0.011657371688880718,0.11673550549834662
379,4.0,VISTA,9.021782013913755,0.014631616499810407,0.12159378279877589
422,4.0,VISTA,8.62948515148627,0.01,0.11387613741746135
431,4.0,VISTA,8.736028648722545,0.04290652252396248,0.11201190754486302
510,4.0,VISTA,7.601544948707678,0.015233300040609445,0.10267068681423056
552,4.0,VISTA,8.801392340460328,0.030094603694141065,0.1131280116549814
578,3.0,VISTA,7.360885363701698,0.026684362708658656,0.10869178026788155
