Relative Entropy,Expectation Value Difference,Generated Expectation Value,Solution Expectation Value,Random Expectation Value
20.93750626748922,0.4999969100737026,1.0269562977782698e-15,-0.49999691007370156,1.0269562977782698e-15
3.1797530980837063,0.49700958445211096,1.240327285323417e-16,-0.49700958445211085,4.826868071905466e-18
0.04623403892280133,0.17507664381288945,6.889833755602259e-16,-0.17507664381288876,6.889833755602259e-16
18.779636394386586,3.6220307219472585,5.350537721215964e-16,-3.622030721947258,5.350537721215964e-16
2.421632039315877,9.145215284440212,-5.863365348801608e-16,-9.145215284440212,-5.863365348801608e-16
11.484801712687101,5.255847346131658,-3.89797786062851e-16,-5.255847346131658,-3.89797786062851e-16
nan,5.828649408006269,-0.49999999999999933,-6.328649408006268,-0.516
5.0975114796810725,26.611980484555634,7.546047120499111e-15,-26.611980484555627,7.546047120499111e-15
6.294140141031495,0.9683537051075347,2.4633073358870656e-16,-0.9683537051075345,2.4633073358870656e-16
nan,14.88545780681739,0.24999999999999992,-14.63545780681739,0.24999999999999997
17.808181863131544,-3.499357929127015,-4.962214264914014,-1.4628563357869988,0.08763185975792594
0.3203729369085164,0.3906993539200324,2.5240226575462557e-17,-0.3906993539200324,2.524022657546212e-17
2.2929337634937643,9.7658212747736,-0.019098496447074176,-9.784919771220675,-0.21970930301032993
0.03864009451589118,0.5178537795775352,3.3219954564955856e-16,-0.5178537795775349,3.746091978285016e-17
0.3176494458474969,0.3290718241611637,-2.400857290751901e-16,-0.32907182416116393,-2.4008572907518567e-16
4.437996966168283,30.420137410428453,3.0105889517908864,-27.409548458637566,-0.0032746663291380214
17.342153149666963,2.5923615898025028,-4.846383711010205e-17,-2.5923615898025028,-4.846383711010205e-17
6.5266169999153565,-12.209526369605909,-12.659463510163977,-0.44993714055806905,-0.11630717259690446
14.525244972128386,87.05808874120343,46.34220060446964,-40.715888136733795,-0.046867680369810386
2.5187202131621156,1.4280560084877176,1.1846405234130393,-0.2434154850746783,-0.03098550268457593
6.350127281348386,0.4191462489152684,-0.006765538279988204,-0.42591178719525663,0.006066408308382471
8.694519142429874,1.3111266474090655,-1.0148132334464322e-16,-1.3111266474090655,-1.0148132334464322e-16
nan,3.9999999593010753,-0.9999999999999996,-4.999999959301075,-0.9999999999999999
0.0016002846521850286,-0.00015247606607283288,-3.3393426912553537e-17,0.0001524760660727995,3.0639553394440356e-19
18.74899586416092,4.107677639736687,6.635317295611287e-17,-4.107677639736687,6.635317295611287e-17
1.3290748815564914,0.6288338622356957,0.6071755644963999,-0.021658297739295878,0.021761020310811917
16.62654849149302,5.919888258145646,3.49665427003385,-2.4232339881117957,0.07185975976944187
6.6054560963438425,-1.4622037129829497,-5.4969050145015075e-17,1.4622037129829497,-5.4969050145015075e-17
23.678554963042615,0.24023271561735188,-0.25976728435229063,-0.4999999999696425,-0.05691616456581586
0.011386184420424912,0.2526007691511627,-6.800116025829084e-16,-0.25260076915116336,-6.800116025829084e-16
6.152732732535195,12.978959306564377,7.320262018079005e-16,-12.978959306564377,7.320262018079005e-16
4.096513225506479,1.0176995107520073,1.2865865780161321e-17,-1.0176995107520073,1.2865865780161497e-17
20.49219114011155,2.562488972508698,4.2847669856627135e-16,-2.5624889725086977,4.2847669856627135e-16
4.700246060436154,0.9129386459125393,-0.003866174663849804,-0.916804820576389,-0.00970705579989528
23.695455504846336,9.415353387062204,7.9999999999999964,-1.4153533870622075,7.999999999999999
21.511552310049595,4.9963246553554574,0.00021781076334973556,-4.9961068445921075,-0.0069148712795550895
2.125448311560496,0.6479011530191221,1.4751474058475684e-16,-0.647901153019122,1.475147405847563e-16
3.2897607476069117,9.813914007463211,-4.704570066849101e-15,-9.813914007463216,-4.704570066849101e-15
0.0006319262299970861,0.030340456253526358,2.255140518769849e-16,-0.030340456253526132,2.255140518769849e-16
2.0646697787651098e-07,0.0009423293401047873,2.538117285788566e-16,-0.0009423293401045335,2.538117285788566e-16
7.438055228908792e-05,0.006094624638920201,3.469446951953614e-18,-0.006094624638920198,3.469446951953614e-18
0.010356976758551371,0.1649971339068036,-5.702903427273753e-16,-0.16499713390680418,-5.702903427273753e-16
17.305505942192468,1.9519002129852916,-7.742287713718987e-16,-1.9519002129852923,-7.742287713718987e-16
nan,6.202072412168784,5.425377882335176,-0.7766945298336079,0.019417936150848324
